station_id,name,counts,longitude,latitude,landmark
62,2nd at Folsom,44844,-122.396236,37.785299,San Francisco
45,Commercial at Montgomery,44728,-122.402923,37.794231,San Francisco
48,Embarcadero at Vallejo,35903,-122.398525,37.799953,San Francisco
60,Embarcadero at Sansome,32980,-122.403234,37.80477,San Francisco
41,Clay at Battery,32505,-122.39997,37.795001,San Francisco
70,San Francisco Caltrain (Townsend at 4th),32027,-122.39526,37.776617,San Francisco
73,Grant Avenue at Columbus Avenue,31733,-122.405942,37.7979,San Francisco
76,Market at 4th,30800,-122.404966,37.786305,San Francisco
63,Howard at 2nd,27938,-122.398108,37.786978,San Francisco
82,Broadway St at Battery St,25496,-122.400862,37.798541,San Francisco
